SILOSY LEJOWE,,,,,,,,,,,,,,
LEGENDA,S-STANDARD,,- - BRAK,M/-MULTI (WIELE POZYCJI SKĄŁDAJACEJ SIĘ NA JEDNĄ),*UWAGA POWINIEN BYĆ KOMENTARZ,,X[LICZBA] - MNOŻNIK SZTUK,,,,,,,
,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,WENTYLACJA,WENTYLACJA,WENTYLACJA,WENTYLACJA,WENTYLACJA,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK
MODEL,OPCJA 1,OPCJA 2,OPCJA 3,OPCJA 4,OPCJA 5,OPCJA 6,OPCJA 7,OPCJA 8,OPCJA 9,OPCJA 10,OPCJA 11,OPCJA 12,OPCJA 13,OPCJA 14
,DRABINA ZEWNĘTRZNA,GÓRNY OTWÓR INSPEKCYJNY,WŁAZ GÓRNEGO OTWORU INSPEKCYJNEGO,DOLNY WŁAZ SERWISOWY,POMOST EKSPLOATACYJNY,SCHODY DACHOWE,SONDA DO POMIARU TEMPERATURY,CZYTNIK TEMPERATURY,KANAŁY NAPOWIETRZAJĄCE,ZALECANY WENTYLATOR,WYWIETRZNIKI DACHOWE,CENTRALNY WLOT ZAŁADUNKOWY,KANAŁ AWARYJNY,KRÓCIEC ROZŁADOWCZY Z ZASUWĄ
KONSIL40/4,DRABZ1-7M-KPL ,S-STANDARD,WLAZDACH-1,S-STANDARD,-,-,TEMP_S_P6,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL40/5,DRABZ-8M-KPL,S-STANDARD,WLAZDACH-1,S-STANDARD,-,-,TEMP_S_P6,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL40/6,"DRABZ-8M-KPL, OSDRAB-CIĘGNO, OSDRAB-DLUZ095, OSDRAB-DLUZ095, OSDRAB-WEZEL, OSDRAB-WEZEL, OSDRAB-WEZEL, OSDRAB-WEZEL",S-STANDARD,WLAZDACH-1,S-STANDARD,-,-,TEMP_S_P8,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL40/7,"DRABZ-8M-KPL, OSDRAB-CIĘGNO, OSDRAB-DLUZ095, OSDRAB-DLUZ095, OSDRAB-WEZEL, OSDRAB-WEZEL, OSDRAB-WEZEL, OSDRAB-WEZEL",S-STANDARD,WLAZDACH-1,S-STANDARD,-,-,TEMP_S_P8,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL60/3,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"POM60, POM60-DRAB",-,TEMP_S_P6,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL60/4,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"POM60, POM60-DRAB",-,TEMP_S_P6,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL60/5,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"POM60, POM60-DRAB",-,TEMP_S_P8,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL60/6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"POM60, POM60-DRAB",-,TEMP_S_P8,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL60/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"POM60, POM60-DRAB",-,TEMP_S_P8,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL60/8,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,"POM60, POM60-DRAB",-,TEMP_S_P10,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL100/4,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM100-KRAT,SCHODYDACH100,TEMP_S_P6,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL100/5,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM100-KRAT,SCHODYDACH100,TEMP_S_P8,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL100/6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM100-KRAT,SCHODYDACH100,TEMP_S_P8,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL100/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM100-KRAT,SCHODYDACH100,TEMP_S_P10,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL100/8,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM100-KRAT,SCHODYDACH100,TEMP_S_P10,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL200/6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM200-KRAT,SCHODYDACH200 ,TEMP_S_P10,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL200/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM200-KRAT,SCHODYDACH200 ,TEMP_S_P10,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL200/8,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM200-KRAT,SCHODYDACH200 ,TEMP_S_P12,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL200/9,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM200-KRAT,SCHODYDACH200 ,TEMP_S_P12,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD
KONSIL200/10,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,POM200-KRAT,SCHODYDACH200 ,TEMP_S_P14,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD