SILOSY PŁASKODENNE,,Uwaga: przedstawione ceny poszczególnych towarów na dzień,,"Prezentowane towary nie stanowią oferty w rozumieniu przepisów Kodeksu cywilnego, a jedynie zaproszenie do składania ofert.",,,,,,,,,,,,,,,,,,,,,,,,*PÓŹNIEJ MOŻNA ZROBIĆ NA PS220,,,,,,,,
LEGENDA,S-STANDARD,,- - BRAK,M/-MULTI (WIELE POZYCJI SKĄŁDAJACEJ SIĘ NA JEDNĄ),*UWAGA POWINIEN BYĆ KOMENTARZ,,X[LICZBA] - MNOŻNIK SZTUK,,,,,,,,,,,,,,,,* JEŚLI W OPCJI TO RAZEM Z OPCJA 22,,*może być M,,,"*UWAGA: KOMPLETACJA PRZENOŚNIKA PODPODŁOGOWEGO WYSTAJĄCEGO MINIMLANIE POZA SILOS PS160, WYCENA DŁUŻSZEGO PRZENOŚNIKA LUB PS220 NA ZAPYTANIE W FIRMIE KONSIL",,,,*UWAGA: CZYTNIK JEST NIEZBĘDNY DO ODCZYTU SOND TEMP. WYSTARCZY 1 CZYTNIK DO WIELU SOND,,,,
KATEGORIA,BLOCZKII BETONOWE,,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,AKTYWNA WENTYLACJA,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,,OPCJA 31,OPCJA 32,OPCJA 33
MODEL,M/OPCJA 1,XO1,OPCJA 2,OPCJA 3,OPCJA 4,OPCJA 5,OPCJA 6,M/OPCJA 7,OPCJA 8,OPCJA 12,OPCJA 9,OPCJA 10,OPCJA 11,M/OPCJA 13,OPCJA 14,OPCJA 15,OPCJA 16,OPCJA 17,OPCJA 18,OPCJA 31*,OPCJA 19,OPCJA 20,OPCJA 21*,OPCJA 22*,OPCJA 23*,OPCJA 24,OPCJA 25,M/OPCJA 26*,OPCJA 27,OPCJA 28,OPCJA 30,opcja 32,,,,
,BLOCZKI BETONOWE,,DRABINA ZEWNĘTRZNA,drabina wewnętrzna,schody dachowe,podest wieńca,pomost eksploatacyjny,właz dolny,właz dachowy,SCHODY SPIRALNE,podłoga płaska perforowana,"WEWNĘTRZNA, PODŁOGA SKOŚNA PERFOROWANA",wlot powietrza,wentylator tLoczący powietrze,wentylator wyciągowy,nagrzewnica powietrza,wywietrznik DACHOWY,manometr wodny,sonda temperatury,CZYTNIK TEMPERATURY,centralny wlot załadunkowy,boczny wlot załadunkowy,workownik,rura antydynamiczna,Rekaw rozładowczy,PRZEdtuzenie rękawa ROZŁADOWCZEGO,kanał awaryjny,przenośnik podpodłogowy fi 160,,przenośnik ślimakowy wewnętrzny,moduł kontroli silosu,GÓRNY WSYP LEJOWY,,,,
NBIN10,ELEM.CERAM.,28,S-STANDARD,S-STANDARD,-,-,-,-,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,-,-,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN10W,ELEM.CERAM.,28,S-STANDARD,S-STANDARD,-,-,-,-,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,-,-,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20N,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20W,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN20WW,ELEM.CERAM.,75,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,-,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,"REKROZ20, OSLONAREKAWA ",REKROZ-PR,-,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40NS,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,,REKROZ-PR,KANALAW-1,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40S,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,,REKROZ-PR,KANALAW-1,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40WS,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,,REKROZ-PR,KANALAW-1,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN40WWS,ELEM.CERAM.,120,S-STANDARD,S-STANDARD,-,-,-,"WLAZDOLNY20, PODESTDOLNY ",S-STANDARD,,S-STANDARD,ELPODSK40,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,S,,REKROZ-PR,KANALAW-1,,,-,MKS-100/2,WSYPLEJ200/400,,,,
NBIN60,ELEM.CERAM.,144,S-STANDARD,S-STANDARD,-,-,,"WLAZDOLNY60-200, PODESTDOLNY ",S-STANDARD,,S-STANDARD,"ELPODSK60.,ELPOD60UZ. ",S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P4,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,-,REK60WZMOC ,REKROZ-PR,,,,PSW60,MKS-100/2,WSYPLEJ200/400,,,,
NBIN60W,ELEM.CERAM.,144,S-STANDARD,S-STANDARD,-,-,,"WLAZDOLNY60-200, PODESTDOLNY ",S-STANDARD,,S-STANDARD,"ELPODSK60.,ELPOD60UZ. ",S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,S,S,REK60WZMOC ,REKROZ-PR,,,,PSW60,MKS-100/2,WSYPLEJ200/400,,,,
NBIN60WW,ELEM.CERAM.,144,S-STANDARD,S-STANDARD,-,-,,S-STANDARD,S-STANDARD,,S-STANDARD,"ELPODSK60.,ELPOD60UZ. ",S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,,"WORKOWNIK, RURAANTYD.",RURAANTYD.,REK60WZMOC ,REKROZ-PR,,,,PSW60,MKS-100/2,WSYPLEJ200/400,,,,
NBIN100U,ELEM.CERAM.,200,S-STANDARD,S-STANDARD,SCHODYDACH100,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P6,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,"WORKOWNIK, RURAANTYD.",RURAANTYD.,,REKROZ-PR,,"PSU160-WL-CENT, PSU160-I/O-200, PS160-P2.0,  PS160-P1.0, PS-PRZEWÓDSMAR",,PSW220-BIN100,MKS-100/2,"WSYPLEJ200/400,RURASP-200-025 ",,,,
NBIN100WU,ELEM.CERAM.,200,S-STANDARD,S-STANDARD,SCHODYDACH100,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-4.5,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,S-STANDARD,"WORKOWNIK, RURAANTYD.",RURAANTYD.,,REKROZ-PR,,"PSU160-WL-CENT, PSU160-I/O-200, PS160-P2.0,  PS160-P1.0, PS-PRZEWÓDSMAR",,PSW220-BIN100,MKS-100/2,"WSYPLEJ200/400,RURASP-200-025 ",,,,
NBIN200NU,ELEM.CERAM.,400,DRABZ-8M-KPL ,S-STANDARD,SCHODYDACH200 ,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-9.0,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,,-,-,-,-,,"PS160-P2.5, PS160-P2.5, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200",,PSW220-BIN200 ,MKS-100/2,-,,,,
NBIN200U,ELEM.CERAM.,400,,S-STANDARD,SCHODYDACH200 ,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-9.0,S-STANDARD,S-STANDARD,TEMP_S_P8,TEMP_S_PCZYT/1 ,S-STANDARD,,-,-,-,-,,"PS160-P2.5, PS160-P2.5, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200",,PSW220-BIN200 ,MKS-100/2,-,,,,
NBIN200WU,ELEM.CERAM.,400,,S-STANDARD,SCHODYDACH200 ,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-10-200,NG-310-9.0,S-STANDARD,S-STANDARD,TEMP_S_P10,TEMP_S_PCZYT/1 ,S-STANDARD,,-,-,-,-,,"PS160-P2.5, PS160-P2.5, PS160-LOZ/P1, PS-PRZEWÓDSMAR, PSU160-WL-CENT , PSU160-I/O-200",,PSW220-BIN200 ,MKS-100/2,-,,,,
NBIN500,ELEM.CERAM.,800,,S-STANDARD,SCHODYDACH500,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-500+,-,S-STANDARD,S-STANDARD,TEMP_S_P12,TEMP_S_PCZYT/1 ,S-STANDARD,,-,-,-,-,,,"PS220-N3/200, PS220-P3.0,PS220-P3.0, PS220-LOZ/P1, PS-PRZEWÓDSMAR , PSU220-I/O-200",PSW500 ,MKS-100/2,-,,,,
NBIN500W,ELEM.CERAM.,800,,S-STANDARD,SCHODYDACH500,PODEST-WIENCA1,,S-STANDARD,S-STANDARD,,S-STANDARD,-,S-STANDARD,"PPZ-7.5-WNT, PPZ-7.5-K310 ",OWS250-500+,-,S-STANDARD,S-STANDARD,TEMP_S_P14,TEMP_S_PCZYT/1 ,S-STANDARD,,-,-,-,-,,,"PS220-N3/200, PS220-P3.0,PS220-P3.0, PS220-LOZ/P1, PS-PRZEWÓDSMAR , PSU220-I/O-200",PSW500 ,MKS-100/2,-,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILOSY LEJOWE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGENDA,S-STANDARD,,- - BRAK,M/-MULTI (WIELE POZYCJI SKĄŁDAJACEJ SIĘ NA JEDNĄ),*UWAGA POWINIEN BYĆ KOMENTARZ,,X[LICZBA] - MNOŻNIK SZTUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,DOSTĘP,WENTYLACJA,WENTYLACJA,WENTYLACJA,WENTYLACJA,WENTYLACJA,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,ZAŁADUNEK I ROZŁADUNEK,,,,,,,,,,,,,,,,,,,,,
MODEL,OPCJA 1,OPCJA 2,OPCJA 3,OPCJA 4,OPCJA 5,OPCJA 6,OPCJA 7,OPCJA 8,OPCJA 9,OPCJA 10,OPCJA 11,OPCJA 12,OPCJA 13,OPCJA 14,,,,,,,,,,,,,,,,,,,,,,
,DRABINA ZEWNĘTRZNA,GÓRNY OTWÓR INSPEKCYJNY,WŁAZ GÓRNEGO OTWORU INSPEKCYJNEGO,DOLNY WŁAZ SERWISOWY,POMOST EKSPLOATACYJNY,SCHODY DACHOWE,SONDA DO POMIARU TEMPERATURY,CZYTNIK TEMPERATURY,KANAŁY NAPOWIETRZAJĄCE,ZALECANY WENTYLATOR,WYWIETRZNIKI DACHOWE,CENTRALNY WLOT ZAŁADUNKOWY,KANAŁ AWARYJNY,KRÓCIEC ROZŁADOWCZY Z ZASUWĄ,,,,,,,,,,,,,,,,,,,,,,
KONSIL40/4,,S-STANDARD,,S-STANDARD,-,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL40/5,,S-STANDARD,,S-STANDARD,-,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL40/6,,S-STANDARD,,S-STANDARD,-,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL40/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,-,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WP-7.6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL60/3,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL60/4,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL60/5,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL60/6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL60/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL60/8,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,-,,TEMP_S_PCZYT/1 ,KONSIL-WENT1,WENT/WPT-280,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL100/4,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL100/5,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL100/6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL100/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL100/8,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL200/6,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL200/7,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL200/8,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL200/9,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
KONSIL200/10,S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,TEMP_S_PCZYT/1 ,"KONSIL-WENT1, KONSIL-WENT1","WENT/WPT-280, KON_AD_WPT280",S-STANDARD,S-STANDARD,S-STANDARD,S-STANDARD,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SILOSY LEJOWE Z BLACHY FALISTEJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LEGENDA,S-STANDARD,,- - BRAK,M/-MULTI (WIELE POZYCJI SKĄŁDAJACEJ SIĘ NA JEDNĄ),*UWAGA POWINIEN BYĆ KOMENTARZ,,X[LICZBA] - MNOŻNIK SZTUK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MODEL,OPCJA 1,OPCJA 2,OPCJA 3,OPCJA 4,OPCJA 5,OPCJA 6,OPCJA 7,OPCJA 8,OPCJA 9,,OPCJA 10,OPCJA 11,OPCJA 12,OPCJA 13,,,,,,,,,,,,,,,,,,,,,,
KONSIL200F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONSIL200F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONSIL200F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONSIL200F8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONSIL200F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KONSIL200F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,